sta,lon,lat,elev,g_value,g_error
11019620,116.213,40.221,70.0,566.0014566263458,0.005410676828442502
11019721,116.12,40.178,75.0,533.5984702320889,0.005176145933758838
11020220,115.924,40.141,608.0,342.8052832972397,0.007406834678924125
11090100,115.984,40.135,212.0,488.6023837662899,0.006526745823906415
11090101,115.968,40.14,284.0,459.8014942249427,0.007013789940602497
11090102,115.904,40.142,726.0,299.60021952424574,0.007735739084177368
12000525,116.998,39.527,6.0,459.8103293842899,0.008197711863347409
12012721,116.999,39.195,13.0,476.00549759186055,0.008968216439233703
12012820,117.168,39.178,6.0,494.00585887090807,0.008987178897986224
12013025,117.062,39.379,7.0,458.008310251169,0.008769284538037327
12017626,116.958,39.619,0.1,440.01117864548985,0.008095781356078512
12021420,116.871,39.522,18.0,477.8050139933016,0.008596020933462296
13008022,115.491,39.349,60.0,456.20292674648323,0.008184355373313969
13008123,115.719,39.383,40.0,506.593596850688,0.0080282917874006
13008220,115.871,39.326,29.3,508.40138318241395,0.007635884405448809
13008320,115.958,39.48,28.0,504.7980378381814,0.00736994109268155
13008420,116.143,39.476,24.0,506.59931567167695,0.007579480665394017
13008520,116.294,39.439,22.0,499.3987209428213,0.007275204568669659
13008622,116.333,39.267,14.0,497.603329690267,0.007966560199903026
13008721,116.389,39.133,3.0,438.20538283533483,0.008174014398359589
13008821,116.732,39.139,7.0,447.2067938746912,0.008703889687902054
13013520,116.197,39.137,18.0,476.002555461519,0.008523446015980225
13013632,115.985,39.187,8.73,459.80164143270497,0.008269625346827054
13015015,116.034,39.123,81.27,459.79936218452565,0.008553360104000214
13051600,114.342,40.148,890.0,440.00170459666214,0.0056392165129075566
13060220,115.191,39.353,188.0,337.40809094467056,0.008108777195775636
13060320,115.159,39.427,519.0,204.20066666628867,0.007804425724364416
13060420,116.891,39.71,33.0,549.8020394505454,0.007719122454956054
13060526,116.748,39.515,15.0,499.40425852014835,0.008705426600341458
13060620,116.568,39.505,21.0,508.4017909309898,0.008539356860969089
13060720,116.495,39.415,19.0,495.80775937796255,0.00808321650731026
13062320,115.823,40.167,760.0,267.1967959547576,0.008177897055319438
13062420,115.796,40.338,499.0,317.5926269854356,0.008391617957649767
13062520,115.616,40.257,540.0,312.1967207679455,0.008395303049016131
13062620,115.526,40.26,552.0,288.80587253983003,0.00818939770049983
13062721,115.406,40.219,726.0,236.60096916236955,0.00775663262172632
13062822,115.273,40.158,1053.0,81.80271046935817,0.007054211687424449
13062920,115.147,40.246,795.0,182.60229760300217,0.00736032407597348
13064021,115.208,40.373,544.0,306.79814828025576,0.007277255688689597
13064121,115.756,40.437,519.6,439.99983751426686,0.007303082606233404
13064220,115.524,40.397,528.0,332.00091197491145,0.007207045934783785
13064320,115.311,40.454,544.0,333.7986413323326,0.0067761727775848424
13064422,115.168,40.537,646.0,319.40350263463324,0.006704679934366592
13064524,115.028,40.61,677.0,337.4030027559929,0.008093319684518374
13064620,114.891,40.776,748.0,305.0029136939347,0.007704600722062001
13064720,114.833,40.406,1113.0,103.4053824361688,0.00646947942966068
13064920,114.16,40.101,896.0,90.80002382731693,0.004560813836699746
13072001,114.918,39.435,735.0,85.40073895745391,0.009391308538052416
13072003,114.898,39.399,735.0,90.80197667033545,0.008236465484816899
13072100,115.406,40.691,858.0,231.19535878809188,0.009273010656676007
13072200,115.837,40.914,890.0,251.0021160552865,0.010336300264836517
13072301,116.072,41.121,988.0,209.59888471180506,0.01131573200308357
13072402,114.899,40.828,825.0,261.7960133694641,0.008430856150895982
13072600,114.725,40.93,1084.0,166.39984019473684,0.008945224271882919
13072701,114.695,41.165,1385.0,87.20752615444326,0.009287139014029963
13072801,114.403,41.082,1451.1,49.40473271998519,0.009481366798586346
13090000,116.326,41.232,1064.0,182.5977058644637,0.012212405041666376
13090101,116.633,41.218,673.0,380.60221507902713,0.013055338810104601
13090400,114.102,41.122,1485.0,18.806752772527346,0.009521631683842093
14023401,114.71,39.34,823.0,65.60723732508734,0.008377897054101533
14034100,114.397,39.302,734.0,62.00368412937962,0.01054367489755938
14034101,114.397,39.302,734.0,67.40573473482857,0.009528832117468381
14080123,113.956,40.037,920.0,47.598003246354125,0.006414878328922517
14080220,113.598,40.034,1038.0,22.402069182095573,0.007842195415889965
15024600,113.828,41.017,1288.0,108.80176237679993,0.009424399833094416
98000100,113.835,40.877,1304.74,67.40450656007647,0.009178388689843435
98000201,114.233,40.686,943.7,161.00143329373347,0.008773391452144584
98000600,115.27,39.671,416.0,288.80098256483603,0.007911731374275612
98000700,114.759,39.528,1020.94,6.198229150255145,0.008240491571776642
98001200,115.334,39.925,598.0,216.7975033324837,0.007671780202642784
98050800,114.087,40.406,982.28,83.60185481801614,0.008186935852518819
98051500,114.087,40.255,1205.18,40.402163607084205,0.007369780240749026
98052100,115.102,40.106,1160.56,18.805225356046037,0.007485590251276795
98052200,114.855,40.01,871.12,94.40131160181156,0.007478461748647259
98052300,114.721,40.092,863.6,132.20376561122444,0.00659521242474587
98052500,114.783,39.84,1130.41,0.7963329222770881,0.007808460606719934
98052600,114.626,39.84,918.0,439.9999631127873,0.007034593866954098
