sta,lon,lat,elev,g_value,g_error
10100100,116.22,40.25,101.0,558.7990129442109,0.0038331449160314006
10100200,115.885,39.603,87.0,524.6034156812825,0.003985471629542551
10107200,114.9,40.828,832.07,256.39754599777984,0.0040229280117471695
10114700,114.149,40.126,942.31,96.19928929541946,0.0037798248389778358
10119201,115.965,40.365,555.9,330.198039954862,0.0037946920680453637
11000220,116.31,39.946,51.9,574.999996485641,0.003680292782405435
11001020,116.649,39.917,55.0,601.9995704806903,0.0037523550719612913
11002322,116.636,40.301,30.0,592.9977105206332,0.003855803261643295
11002400,116.644,40.136,42.0,574.9997628706644,0.0037882333575898534
11002521,116.392,40.176,36.0,594.7991428002608,0.0037854657370498647
11002802,116.072,40.287,233.7,465.1990384580529,0.0037701614733410727
11003021,115.992,40.466,480.8,349.9989688570718,0.003789079091113627
11003221,116.166,40.53,516.0,389.59946464302675,0.0038568988054274744
11003320,116.348,40.554,703.0,348.19817323889555,0.003901471145898172
11003420,116.537,40.558,625.0,384.19947394766206,0.003922958161294721
11003820,116.143,40.051,73.0,578.5984876173274,0.0037814117264220867
11003902,116.15,40.025,11.0,565.9997398268245,0.0037695836505652895
11004021,116.24,39.913,65.9,571.4019832679123,0.0037729347933230985
11004120,116.175,40.038,65.0,582.19885504027,0.0038028561317573393
11010124,116.402,39.829,48.0,580.3997387643436,0.0037719150194692914
11010223,116.337,39.731,39.0,587.5979992869613,0.0038298653087722005
11010320,116.137,39.747,47.8,546.2011369689473,0.0038664864659828688
11010420,116.113,39.85,74.0,533.6009087701431,0.0038346254611325726
11010520,116.316,39.509,40.0,535.3983750883597,0.0038555613024183226
11010922,116.028,39.611,31.3,530.0014634099613,0.003869971805410142
11013902,116.15,40.025,11.0,565.9991184674125,0.0038880461968678827
11014121,116.175,40.04,200.0,531.7989537405603,0.0039203319968268875
11017520,116.787,39.778,16.0,598.3994170401414,0.003836741150800746
11018621,116.64,40.625,28.0,501.19819167221664,0.003922629301227506
11018920,116.657,40.486,21.0,495.79949227151496,0.0039008931193368975
11019120,116.5,40.167,46.0,585.7982693106081,0.003812140267351181
11019620,116.213,40.221,70.0,565.9990698512383,0.0037129311354949343
11019721,116.12,40.178,75.0,533.5981308454024,0.003704415517015373
11020220,115.924,40.141,608.0,342.79844235688677,0.003839234880545167
11090100,115.984,40.135,212.0,488.5978131249045,0.0037821732664737383
11090101,115.968,40.14,284.0,459.7977975320743,0.003813560361725355
11090102,115.904,40.142,726.0,299.5980757555563,0.003861507808940656
12000525,116.998,39.527,6.0,459.79897838534407,0.003931642257443471
12012721,116.999,39.195,13.0,475.9999131746339,0.004007644508821007
12012820,117.168,39.178,6.0,493.9994610840654,0.004010615200566403
12013025,117.062,39.379,7.0,458.0002528084971,0.003989759208144976
12017626,116.958,39.619,0.1,439.9987174906647,0.003925970830705881
12021420,116.871,39.522,18.0,477.798952054789,0.00396843408850937
13008022,115.491,39.349,60.0,456.2011241751668,0.003889219011432424
13008123,115.719,39.383,40.0,506.60218842564814,0.0038840592292433427
13008220,115.871,39.326,29.3,508.4016803792017,0.0038616412953113815
13008320,115.958,39.48,28.0,504.8013673854323,0.0038452011244170772
13008420,116.143,39.476,24.0,506.6016063446343,0.0038685592906866984
13008520,116.294,39.439,22.0,499.40115801476486,0.0038465950890755993
13008622,116.333,39.267,14.0,497.6020702850066,0.003908726807028617
13008721,116.389,39.133,3.0,438.2006434499359,0.0039301821665007905
13008821,116.732,39.139,7.0,447.2004074789776,0.00397967728134661
13013520,116.197,39.137,18.0,476.0020625280041,0.003957170088705769
13013632,115.985,39.187,8.73,459.8015400993198,0.003923183760159083
13015015,116.034,39.123,81.27,459.80118083704986,0.00395470447256592
13051600,114.342,40.148,890.0,439.99968660606817,0.003694241273973668
13060220,115.191,39.353,188.0,337.4022599021973,0.0038702369673780943
13060320,115.159,39.427,519.0,204.20004294976692,0.0038356579296871703
13060420,116.891,39.71,33.0,549.7990378774314,0.0038927341997641272
13060526,116.748,39.515,15.0,499.4005569554969,0.003978351195076135
13060620,116.568,39.505,21.0,508.40071890558113,0.003962243477519328
13060720,116.495,39.415,19.0,495.79877366349143,0.003917508782259302
13062320,115.823,40.167,760.0,267.19682513491296,0.0038908124441162234
13062420,115.796,40.338,499.0,317.5975130064653,0.003902076293245618
13062520,115.616,40.257,540.0,312.19878203544795,0.003895457834353624
13062620,115.526,40.26,552.0,288.79995993226896,0.0038709010049096885
13062721,115.406,40.219,726.0,236.59927093485837,0.0038280097082793994
13062822,115.273,40.158,1053.0,81.80104679158052,0.0037661022741935063
13062920,115.147,40.246,795.0,182.60163179153486,0.0037934322339390025
13064021,115.208,40.373,544.0,306.799564158688,0.0037884055338912818
13064121,115.756,40.437,519.6,439.9987368625636,0.0037960858650570215
13064220,115.524,40.397,528.0,331.999674854426,0.0037812148436929217
13064320,115.311,40.454,544.0,333.799428755901,0.003745839797888267
13064422,115.168,40.537,646.0,319.3981137297807,0.003747317084693965
