P1,P2,DC,Err
98052200,98052100,75.5997741578706,0.005379412130632047
13064021,13062920,124.19793236715313,0.005361170077763392
13060620,13060720,12.601945242089698,0.005571916046946796
12000525,12013025,1.7987255768469481,0.005601427441241457
13072402,13072600,95.40059553424231,0.005565195176767392
12013025,12012820,-35.999208275568265,0.00565713821874558
13064220,13064320,-1.7997539014749577,0.005322490158338228
11019120,11002400,10.798506439943708,0.005374302316535313
11002802,10119201,135.00099850319089,0.005349187361305615
13008420,13008520,7.2004483298694595,0.005455460087367415
13072701,13072801,37.79971063566461,0.005674697775896922
13062822,13062721,-154.79822414327785,0.005370026505182896
13072200,13072301,41.40031386552499,0.0059262305610378015
13008821,13008721,8.999764029041671,0.005593224751925064
13090400,15024600,-90.00101940299785,0.005701015424994425
11019721,11019620,-32.400939005835994,0.005244859572918228
98052600,98052200,345.59930682921595,0.0053566006376254156
11004021,11010420,37.801074497769264,0.00537953430901172
14080123,14080220,25.199965417662355,0.005459937037336872
13060320,13060220,-133.20221695243035,0.00544894539679304
13064422,13064320,-14.401315026120301,0.005298462147140705
13008622,13008520,-1.7990877297582415,0.005484016687728498
13060720,13008520,-3.602384351273429,0.0054902794863630824
98051500,10114700,-55.80068224313449,0.005403668352894914
10114700,13064920,5.399285781058737,0.005275569237303144
13060220,13008022,-118.79886427296952,0.005486780358511482
11019620,11002521,-28.80007294902248,0.0053024153423988
11002521,11019120,9.00087348965269,0.005372351837355667
11000220,11019721,41.40186564023861,0.005221805175121896
11000220,11004021,3.598013217728635,0.005270634868675078
98052100,13062822,-62.999946911658185,0.005352327124909074
13062822,98001200,-134.99880237032082,0.005363934266333234
13062920,13062822,100.80058499995434,0.005345433046365182
11003820,11019721,45.000356771925,0.005293559196554502
12021420,13060526,-21.601604900707855,0.005619230138213499
11010223,11010520,52.19962419860167,0.005434447648109461
13062420,13062320,50.40068787155235,0.005510410227342346
12012820,12012721,17.9995479094315,0.005669766202948537
13062320,11090102,-32.40125062064334,0.00548175738552878
11090101,11020220,116.99935517518753,0.005411373864419043
11001020,11002400,26.99980761002587,0.00533206156731429
11001020,11017520,3.6001534405488655,0.005366633138600165
98052300,98052600,-307.7998241271794,0.0053158268762384464
13064720,13051600,-336.59926803731776,0.005255608965881676
13051600,98052300,307.7993298662387,0.005261792388179133
13051600,13064920,349.19968309170747,0.005214592367055746
98001200,98000600,-71.99892341506549,0.005418310853765633
13062721,13062620,-52.200688997410595,0.00544403645436841
98000600,13060320,84.5987296271999,0.005429742147445695
13072100,13072200,-19.799327103203325,0.005742826233038607
13064422,13064524,-18.000445450368375,0.00538807163472467
13064422,13064620,14.399629793550503,0.005362633296932084
13064422,13064720,215.99769516103026,0.005293051326519
98000700,14023401,-59.400095649379665,0.005487736415432685
98050800,98051500,43.20090384067035,0.005508116933720946
13008220,13008123,1.79949195355357,0.0054770603054854665
12017626,12000525,-19.800260894679354,0.005556172945838584
12000525,12021420,-17.999973669444955,0.005586258135403196
11010420,11010320,-12.600228198804189,0.005445555069852373
11010320,11010922,16.199673558985978,0.005470502661209308
13015015,13013520,-16.200881690954247,0.005594540425833074
13062520,13062420,-5.398730971017358,0.005513691244305986
11018621,11003420,116.99871772455458,0.005547668102015247
10119201,11003021,-19.80092890220982,0.005362537482386568
11017520,13060420,48.600379162710055,0.005465707841465832
