sta,lon,lat,elev,g_value,g_error
10104600,105.414,28.872,756.0,838.2631976646933,0.0023216324794580433
10104601,105.414,28.873,756.0,837.9757493109042,0.003342670422495821
10105200,100.881,24.437,1284.0,231.77719302769611,0.007283483992113934
10106901,100.03,26.695,3230.0,-82.73258417832074,0.007079048253577729
10122400,99.188,24.718,752.0,206.35774845989124,0.008216507462383645
10122410,99.194,24.725,756.0,211.30904841619517,0.0077582808500658434
10123000,98.845,24.001,754.0,361.50498705275413,0.009065895593993874
10124500,101.908,24.102,2140.0,104.2998118823179,0.006477438044192319
10124501,101.985,24.067,1456.0,202.17696313191644,0.006475223284895645
10124502,101.985,24.067,1456.0,202.22575533788225,0.0058826663700852835
10125801,99.708,27.829,3286.0,-93.08062252049572,0.008191309115093373
10125802,99.705,27.827,3301.0,-90.34756020390635,0.008626593967511103
10125803,99.698,27.823,3330.0,-96.1824685145715,0.009041041174466682
10125804,99.698,27.823,3330.0,-98.50360832016383,0.009437296719861833
10128300,98.438,24.958,756.0,227.70282396662458,0.009063792052080449
10128301,98.521,25.026,756.0,196.422402084069,0.00906432784446629
10128310,98.521,25.026,756.0,197.09962657293553,0.008651431374335918
10129200,99.372,25.885,1712.0,181.5044230191659,0.006552117038502653
10129210,99.372,25.886,1673.0,190.6299024251141,0.005967098808457816
10215700,100.136,24.445,1200.0,246.9183363669988,0.007659802821890167
10236600,100.065,27.109,1942.0,156.5253668597091,0.007240460908453518
10237000,98.668,24.582,1592.0,200.89465492880237,0.008216942834697425
10503001,99.546,25.456,1670.0,189.02755633538413,0.006189685046610979
10525200,99.162,25.055,1682.0,165.6491343388431,0.007271215346208893
10632610,100.521,25.055,1391.0,213.20216631768804,0.006680787584411566
10632802,104.535,28.693,756.0,790.6890876215589,0.003969532223335589
51003850,104.516,28.179,430.0,689.4575397101443,0.0048054564536257225
51004150,102.877,26.966,675.0,466.547954273791,0.006838484090321218
51013100,99.829,28.967,756.0,8.41516524532149,0.010188483788079064
51038200,101.591,26.596,756.0,410.7997300001989,0.006592111406888774
51039700,101.743,26.503,756.0,412.5280206294535,0.006072748790097779
51087800,101.699,26.554,1054.0,428.8612536488259,0.0063046020238443435
51091600,101.693,26.542,756.0,407.13758530128064,0.006475999408855604
53000100,101.268,25.202,756.0,152.6848747439459,0.004690798481707162
53000201,101.143,25.244,1960.0,134.15528530035184,0.004867266291133923
53000300,100.999,25.314,2350.0,52.33783853767416,0.004911519510878027
53000400,100.899,25.329,2130.0,96.37324898149198,0.0048270978388379
53000600,100.55,25.453,1990.0,132.31210548345837,0.004607434869306344
