P1,P2,DC,Err,res,meter
53014101,53014103,-0.6282046262483334,0.0026568395378497433,-0.0006043000222524242,G169
53014103,53014101,0.6282046262483334,0.0026568395378497433,0.0006069955684949724,G169
53014101,53014103,-0.6282046262483334,0.0026568395378497433,-0.0002891947232845915,G169
53014103,53014000,-1.754183424882143,0.004128942334557986,-0.0034622999773308294,G169
53014000,53082800,17.63521754824265,0.005372021619871176,-0.002529779374874863,G169
53082800,53082701,-38.07647700597241,0.006315047921922125,-0.007258664679206106,G169
53082701,53082601,-14.791181394938235,0.006969411800762052,-0.004377091914756548,G169
53082601,53085600,-71.97803696983516,0.007411834276283323,-0.004809917443694189,G169
53085600,53082500,27.45372597326434,0.007678155460151851,-0.002593113635523281,G169
53082500,53082400,1.4465423877282433,0.007787527198674237,0.012093607830646613,G169
53082400,53082300,32.949244173099316,0.007746644183639542,-0.008215796672544684,G169
53082300,53082400,-32.949244173099316,0.007746644183639542,0.006518456409843054,G169
53082400,53082500,-1.4465423877282433,0.007787527198674237,-0.0073619523789800745,G169
53082500,53085600,-27.45372597326434,0.007678155460151851,0.0008590942563451165,G169
53085600,10124502,35.027593839793894,0.008080521149702707,-0.012419821281490329,G169
10124502,10124500,97.92431898063391,0.008990849230784756,0.010557939541996575,G169
10124500,10124502,-97.92431898063391,0.008990849230784756,0.004085343691770049,G169
10124502,10124501,0.04877882705588377,0.008989429485029222,-0.003746868200098584,G169
10124501,10124502,-0.04877882705588377,0.008989429485029222,-0.00435413539819323,G169
10124502,53085600,-35.027593839793894,0.008080521149702707,0.002595335260011211,G169
53085600,53082601,71.97803696983516,0.007411834276283323,-0.008273327211242076,G169
53082601,53082701,14.791181394938235,0.006969411800762052,0.0023999104735743515,G169
53082701,53082800,38.07647700597241,0.006315047921922125,-0.0010580271470743696,G169
53082800,53014000,-17.63521754824265,0.005372021619871176,-0.0007640401115551754,G169
53014000,53014103,1.754183424882143,0.004128942334557986,0.00012018929466961481,G169
53014103,53082001,6.977094441937339,0.004187498701721866,-0.012560991028752078,G169
53082001,53081900,2.863428724856476,0.0054303709101814505,-0.00565511647137118,G169
53081900,53081800,1.8262522006842232,0.006249793523952867,0.0027371186114137913,G169
53081800,53081500,17.831315896955374,0.00669545833272537,-0.0049892083909384155,G169
53081500,53081600,-40.40581500944526,0.007061274734633426,0.01223091921818309,G169
53081600,53081700,-19.259794834932563,0.007330807886936725,-0.0008622731588943111,G169
53081700,53080800,-50.0967817751536,0.00728343392200915,0.006700102901703531,G169
53080800,53081700,50.0967817751536,0.00728343392200915,-0.002418261622167961,G169
53081700,53081600,19.259794834932563,0.007330807886936725,0.008218037112101229,G169
53081600,53081500,40.40581500944526,0.007061274734633426,0.002878275617817394,G169
53081500,53081400,-7.631590374473603,0.007085324804859273,-0.005270051705903889,G169
53081400,53081300,-75.16042540305551,0.007415883661335369,0.002594642498763733,G169
53081300,53081200,12.649781776213558,0.00746043232000708,0.00022798753889041734,G169
53081200,53081100,-32.92087157759508,0.007575641905515808,-0.0038144316216630614,G169
53081100,53081001,-34.06160094564194,0.007768322673483376,0.001507915644921809,G169
53081001,53081100,34.06160094564194,0.007768322673483376,-0.00799546223079517,G169
53081100,53081200,32.92087157759508,0.007575641905515808,0.0013022806616973526,G169
53081200,53082300,-6.471005976411249,0.007551724552613244,-0.001007192683477598,G169
53082300,53081200,6.471005976411249,0.007551724552613244,-0.004104301883852912,G169
53081200,53081300,-12.649781776213558,0.00746043232000708,0.0033945057010207336,G169
53081300,53081400,75.16042540305551,0.007415883661335369,-0.00935804104261706,G169
53081400,53081500,7.631590374473603,0.007085324804859273,0.0011869998868698772,G169
53081500,53081800,-17.831315896955374,0.00669545833272537,0.005471356092520807,G169
53081800,53081900,-1.8262522006842232,0.006249793523952867,-0.000921659159189403,G169
53081900,53082001,-2.863428724856476,0.0054303709101814505,-0.0035804260464225024,G169
53082001,53014103,-6.977094441937339,0.004187498701721866,0.003213910869332537,G169
53082001,53082100,19.56888165283472,0.005377063037174701,-0.0018531459457342692,G169
53082100,53082200,-81.19143372378717,0.0060934817180138415,-0.002549047852042463,G169
53082200,53080500,19.980845287478587,0.0064143300603759995,-0.0051768659671367345,G169
