P1,P2,DC,Err
53081600,53081700,-19.260225433343805,0.007137391107982075
53000201,53000300,81.81744676267768,0.006914716556341562
53081200,53081100,-32.921480311680256,0.007375395986992959
53010901,53010701,-14.041885377545782,0.008131596109070506
53085200,53085300,-11.166846282981396,0.0084550057656586
10525200,53003402,-34.8416348312453,0.010403169015636949
10525200,91021800,-162.02277549157753,0.010633139545036719
53004501,10215700,6.227498901521756,0.010888279109545243
53083300,53012502,71.32802450288352,0.006881904960755323
53012600,53012502,-54.53983717520856,0.007084582706103284
53080600,53080700,-99.16287456719145,0.006894485553910686
10104601,10104600,-0.28744835378904554,0.004069818536876416
51038200,53011900,34.296855612295474,0.009368006934854704
53010200,53010401,91.982978172363,0.008856218098439388
92000300,53084700,138.49245264658282,0.006753561270357805
53007900,53008000,-12.308790583364313,0.009934529506870697
53005601,53005601,0.0,0.008051832691561383
53084200,53084300,-3.7780930301901208,0.006546900773950777
53082001,53081900,2.8634368174456597,0.005292881990304692
53011102,53011001,-51.02776879452108,0.007426403800186494
53083200,53083300,-48.1003566069777,0.006656895519364525
53080900,53081001,11.475663352555898,0.007508131912994399
53004100,53004301,-13.227800449160753,0.011023915763487172
91021800,10237000,126.77725490161828,0.011300939497314607
53013500,53001801,5.12612612057265,0.003586110633936498
53008201,53016801,20.485172094889094,0.010117587891006611
53002100,53001801,98.87801523122796,0.005111853690461509
10237000,91024200,-164.33075773457705,0.011932509788356142
53082800,53082701,-38.07717243326543,0.006154722968990404
53016400,53016501,21.929819166721984,0.0066514546846154505
53014101,53082900,-45.51590980604041,0.003068559428410751
53014103,53083800,-11.408971692588068,0.004058253864902439
10503001,53002701,-39.760187707996124,0.008997551013480667
53009500,53009600,-63.50077724411342,0.009334065005443065
53013700,53013601,0.6970321636759422,0.006791203728331671
92000300,10632802,-109.76165304486517,0.005907738326077354
10632802,51003850,101.23154791141462,0.006232944552921412
53000802,53000900,67.48112390353398,0.00620617416193865
53007201,53020001,77.91582723848789,0.008158569852058966
53000300,53000400,-44.035410443817824,0.006886501103713631
53081300,53081200,12.649898403747898,0.00726318662754251
53081200,53082300,-6.471084927677566,0.007352204696490573
53080700,53080800,5.815832010556335,0.006996998301208007
53008802,53005950,30.06375306791206,0.009091905426868328
53005950,53008702,-2.043928464717027,0.009149862464028099
53085900,53005950,6.852700653909807,0.009285257610457074
53003903,53018700,-23.47658715579942,0.010990607052754751
53080201,53080300,-11.80971520775131,0.00697011647282936
53003402,53003602,-109.32108603254454,0.010617587012545447
53084400,53084300,11.883110496392533,0.006668169438252185
53011601,53011702,-72.7274396264296,0.009308823111324483
53083800,53083900,12.143011138790044,0.005105184673852543
53000600,53000701,-34.277342914883235,0.0065360270913243975
53013401,53013400,4.5631353434714015,0.010208189741439824
10122410,10122400,4.951299956303927,0.011300527272118966
53005301,10632610,3.714819770292621,0.009052277842284195
91024300,91022501,5.363537489709273,0.006744395263710877
53013601,53000100,15.563177005593218,0.006716102443089516
53000100,53018101,47.457120602696904,0.006836731292840157
53000100,53000201,18.529589443594062,0.006759724221060707
10525200,10122410,-45.659914077352056,0.010633037870685974
