sta,lon,lat,elev,g_value,g_error
10100100,116.22,40.25,101.0,558.7926257798173,0.007834932177099555
10100200,115.885,39.603,87.0,524.5878220015909,0.010057453635869225
10107200,114.9,40.828,832.07,256.4114102668182,0.00823920150950898
10114700,114.149,40.126,942.31,96.20779337744142,0.009898508160586851
10119201,115.965,40.365,555.9,330.1921818799043,0.007845405852476887
11000220,116.31,39.946,51.9,574.9999876020528,0.004692338514436607
11001020,116.649,39.917,55.0,602.0006398180255,0.006411588824924783
11002322,116.636,40.301,30.0,593.0071036739828,0.008302462291628053
11002400,116.644,40.136,42.0,574.9991033221311,0.007148538575889947
11002521,116.392,40.176,36.0,594.8002692236205,0.007113246379721837
11002802,116.072,40.287,233.7,465.19850577576483,0.007196684774256054
11003021,115.992,40.466,480.8,349.99524412862695,0.00795745166304681
11003221,116.166,40.53,516.0,389.5981097211727,0.008814092399396423
11003320,116.348,40.554,703.0,348.1920298196447,0.009310190894121492
11003420,116.537,40.558,625.0,384.19665672112455,0.009501747151427962
11003820,116.143,40.051,73.0,578.6039099846566,0.0068665274707787275
11003902,116.15,40.025,11.0,566.0085157585966,0.00655052667309383
11004021,116.24,39.913,65.9,571.4100510393635,0.006725999966796941
11004120,116.175,40.038,65.0,582.2064553732563,0.007161702815607562
11010124,116.402,39.829,48.0,580.3844535552033,0.006697126813573383
11010223,116.337,39.731,39.0,587.5950063003625,0.007745656295782083
11010320,116.137,39.747,47.8,546.2001262758398,0.00843160082654339
11010420,116.113,39.85,74.0,533.6027730826773,0.007848706322117998
11010520,116.316,39.509,40.0,535.3807545711629,0.008212164917389098
11010922,116.028,39.611,31.3,529.9953948177042,0.008587381933469957
11013902,116.15,40.025,11.0,566.0118944185998,0.00838518899992411
11014121,116.175,40.04,200.0,531.8061956470018,0.008870983659933999
11017520,116.787,39.778,16.0,598.4047610041602,0.007823682449292707
11018621,116.64,40.625,28.0,501.2027861386966,0.009408586695622069
11018920,116.657,40.486,21.0,495.7966105800426,0.009023774583991047
11019120,116.5,40.167,46.0,585.7998743105178,0.007512330358608133
11019620,116.213,40.221,70.0,566.0017324635442,0.005829594098238348
11019721,116.12,40.178,75.0,533.5971202722395,0.005522650526590769
11020220,115.924,40.141,608.0,342.804466732759,0.00836623332173131
11090100,115.984,40.135,212.0,488.60600385202156,0.007252724223057767
11090101,115.968,40.14,284.0,459.80210147292536,0.007869079549792874
11090102,115.904,40.142,726.0,299.5998927609815,0.00878497156920109
12000525,116.998,39.527,6.0,459.8136888682327,0.009261169371492529
12012721,116.999,39.195,13.0,476.00203577633965,0.010205968704873277
12012820,117.168,39.178,6.0,494.006989759592,0.010221425006973525
12013025,117.062,39.379,7.0,458.0077994179574,0.009956945436721258
12017626,116.958,39.619,0.1,440.0065822099692,0.009129574330856172
12021420,116.871,39.522,18.0,477.79881333982183,0.009738795249346385
13008022,115.491,39.349,60.0,456.2037173332514,0.009508102258100679
13008123,115.719,39.383,40.0,506.59581698441235,0.009246598871784294
13008220,115.871,39.326,29.3,508.4015581586802,0.008710487628917933
13008320,115.958,39.48,28.0,504.79916941447743,0.008339587257468506
13008420,116.143,39.476,24.0,506.5979819517081,0.00856873810420741
13008520,116.294,39.439,22.0,499.39385432367055,0.008184281277637238
13008622,116.333,39.267,14.0,497.5990902105937,0.009022122514103583
13008721,116.389,39.133,3.0,438.20145743083555,0.009280545569392878
13008821,116.732,39.139,7.0,447.20653321924624,0.009899631345347592
13013520,116.197,39.137,18.0,475.99793851689736,0.009709175439768465
13013632,115.985,39.187,8.73,459.7978436012204,0.009440522338368496
13015015,116.034,39.123,81.27,459.798711165813,0.00975917803944514
13051600,114.342,40.148,890.0,439.99922451950573,0.00847903638188796
13060220,115.191,39.353,188.0,337.40839883335497,0.009505371706177471
13060320,115.159,39.427,519.0,204.19658700724995,0.009251019231514673
13060420,116.891,39.71,33.0,549.7988171224372,0.008666455848026656
13060526,116.748,39.515,15.0,499.4011002835075,0.009872565181576195
13060620,116.568,39.505,21.0,508.3978907732265,0.009679914079491711
13060720,116.495,39.415,19.0,495.8028630420532,0.009143423401705937
13062320,115.823,40.167,760.0,267.1935367514734,0.009360497897959896
13062420,115.796,40.338,499.0,317.5908233885579,0.009666504774124604
13062520,115.616,40.257,540.0,312.19773583706774,0.009727935233307967
13062620,115.526,40.26,552.0,288.8039795226934,0.009550346100148616
13062721,115.406,40.219,726.0,236.59763400006773,0.009118938746895728
13062822,115.273,40.158,1053.0,81.79746687103403,0.008393279353514908
13062920,115.147,40.246,795.0,182.59811704179538,0.008623646950129564
13064021,115.208,40.373,544.0,306.7947917509322,0.008396357338776507
13064121,115.756,40.437,519.6,439.9969674807536,0.008264282536323843
13064220,115.524,40.397,528.0,332.001685979695,0.008163124692577385
13064320,115.311,40.454,544.0,333.7952275831678,0.007651517102133219
13064422,115.168,40.537,646.0,319.4031693263506,0.007352004860263861
13064524,115.028,40.61,677.0,337.4056065853032,0.00903346802591293
13064620,114.891,40.776,748.0,305.0017727747356,0.007150715645427271
13064720,114.833,40.406,1113.0,103.3983399819283,0.008187288375455992
13064920,114.16,40.101,896.0,90.79504357399951,0.009325828049433821
13072001,114.918,39.435,735.0,85.39535586263264,0.011145998553157198
13072003,114.898,39.399,735.0,90.79391333333297,0.009840336314681394
13072100,115.406,40.691,858.0,231.19528930405917,0.010453148562197322
13072200,115.837,40.914,890.0,250.9994917254128,0.01172027614128874
13072301,116.072,41.121,988.0,209.6000684910337,0.012884444869031496
13072402,114.899,40.828,825.0,261.79531240474523,0.006363456736904282
13072600,114.725,40.93,1084.0,166.40001239794782,0.004692338514436607
13072701,114.695,41.165,1385.0,87.20038290721433,0.006783131038779243
13072801,114.403,41.082,1451.1,49.40139019882693,0.0081308931518221
