P1,P2,DC,Err
98052200,98052100,75.59608624576552,0.010581183843785648
13064021,13062920,124.19585067725359,0.010350498580354472
13060620,13060720,12.594031553027264,0.01175835892899315
12000525,12013025,1.8020191331208935,0.012004283864667953
13072402,13072600,95.39617317472727,0.012292126451976644
12013025,12012820,-35.997548619739064,0.012556661015312526
13064220,13064320,-1.797729357421133,0.009892321700074525
11019120,11002400,10.800802238971755,0.009367919614805745
11002802,10119201,135.00333971248136,0.00953900739998337
13008420,13008520,7.200594728855663,0.010506052002206804
13072701,13072801,37.80279343445807,0.013272048351149604
13062822,13062721,-154.79825869301138,0.010484619790885344
13072200,13072301,41.40323134348145,0.015325954910884645
13008821,13008721,9.001411039356356,0.011940360425203151
13090400,15024600,-89.99500960427258,0.013397043783491032
11019721,11019620,-32.402986394256914,0.00748785085785052
98052600,98052200,345.59865151097574,0.010267078503594313
11004021,11010420,37.80612006458932,0.009342148018555917
14080123,14080220,25.19593406425855,0.010131667824987419
13060320,13060220,-133.2074242783819,0.01125439152055108
13064422,13064320,-14.395138697699338,0.009532536416609165
13008622,13008520,-1.795391252554282,0.010788636750520003
13060720,13008520,-3.5909615648587305,0.010875062786947253
98051500,10114700,-55.807936943393685,0.00965532708152634
10114700,13064920,5.410076723160955,0.007727399504836864
13060220,13008022,-118.79483580181267,0.01152110847477031
11019620,11002521,-28.802473907121566,0.008417692797442982
11002521,11019120,9.000760696831321,0.009352063444523911
11000220,11019721,41.40150594060037,0.006898804938581761
11000220,11004021,3.590081909775108,0.007650608619901144
98052100,13062822,-62.99748511331214,0.010285716501100247
13062822,98001200,-134.99479286312553,0.010422001439678344
13062920,13062822,100.799587133644,0.010194914076849818
11003820,11019721,45.00668233926842,0.008125639154000127
12021420,13060526,-21.599244526846746,0.012234215470656656
11010223,11010520,52.21062892719726,0.010100085465532623
13062420,13062320,50.39583103067798,0.0117173910148357
12012820,12012721,18.000361279047524,0.01269638888209362
13062320,11090102,-32.403423569488154,0.011256982696347706
11090101,11020220,116.99621092770298,0.01020070827402734
11001020,11002400,26.99759246914857,0.008746165575111268
11001020,11017520,3.5945251289398357,0.009165848021481258
98052300,98052600,-307.7961975015629,0.0096427349751256
13064720,13051600,-336.59632216049334,0.008582244867763442
13051600,98052300,307.79793898543767,0.008677418383768964
13051600,13064920,349.2016807693452,0.007252708854799089
98001200,98000600,-72.00347923235233,0.011020512910765943
13062721,13062620,-52.20490337746048,0.011279697882717463
98000600,13060320,84.60031589854736,0.011113260287864139
13072100,13072200,-19.806757267194627,0.013886246065934674
13064422,13064524,-17.99950012135963,0.010509736273480444
13064422,13064620,14.400588940698526,0.010213403218746253
13064422,13064720,215.99812019846445,0.009317021901503757
98000700,14023401,-59.409008174832195,0.011751376957346106
98050800,98051500,43.19969121093193,0.011015424615065586
13008220,13008123,1.8077863317259357,0.011079720198498707
12017626,12000525,-19.79915073880005,0.011521464991913801
12000525,12021420,-17.9946846090117,0.011878301885496463
11010420,11010320,-12.596436630644916,0.010285025192014605
11010320,11010922,16.20601881926825,0.01068017488651557
13015015,13013520,-16.203193276993375,0.012075143935209705
13062520,13062420,-5.395906217490051,0.011870145965065871
11018621,11003420,117.00241137759679,0.011810779797925428
10119201,11003021,-19.804984322447012,0.009943680494342829
11017520,13060420,48.60339548732759,0.01043940442216786
98052500,98000700,-5.401896227978057,0.011352434029370922
13072402,10107200,5.383914498848355,0.012746648033096268
98000201,98050800,77.39957847571733,0.011999929842537484
13064524,13072100,106.20764396790099,0.012308149745377629
11010124,11010223,-7.210650767114771,0.009267370371445401
13013520,13008721,37.79717262618419,0.011809472611929757
11003320,11003221,-41.40486422173797,0.011324329416050433
13064320,13064021,27.00049305207682,0.009943589285074429
13008320,13008220,-3.6033453442325367,0.010612387213203843
13008220,13013632,48.59974174970898,0.011255817785939003
11010922,13008320,25.19615417152005,0.010589870835591594
13062620,13062520,-23.390848228115487,0.011728058150511169
11018920,11018621,-5.397848001633406,0.01154199693405881
13013632,13015015,0.002279248179320348,0.011897338880841676
13072003,13072001,5.401237712881539,0.012491438657715783
14023401,13072003,-25.19473934524811,0.011748554069829324
11019620,10100100,7.205781736073959,0.008882685544223305
11003221,11003021,39.60088613548703,0.010519717104362827
11003021,13064121,-90.00025337366907,0.010162581636501153
98052600,98052500,439.20363019051024,0.010509879538780893
13008123,13008022,50.39067010420479,0.011464603870188326
11000220,11003902,8.989762672917777,0.007552562222583836
11000220,11019620,8.99851954634346,0.007076471337812126
11000220,11010124,-5.390588032984169,0.0076338006242574145
11000220,11001020,-26.999983894123602,0.007444291745421637
13072801,13090400,30.597979947457844,0.013437179253551734
11004120,11003820,3.599181399808913,0.009034275981693445
13072301,13090000,27.00117884734135,0.01664898278175961
13064620,13072402,43.20690032447061,0.011421042322113115
13060526,13060620,-8.997532410841472,0.01219446874172518
12012721,13008821,28.79870371716936,0.012497463814714943
11019620,11002802,100.80351709571363,0.008445966736276529
11090100,11090101,28.800889541347203,0.009580796437706868
14034101,14034100,5.402050605448949,0.014211534817475583
11003420,11003320,36.002748649257626,0.011740860006649288
13064121,13064220,107.99892553935541,0.01026043501317329
11020220,11090102,43.20506377299398,0.010709942069842505
13008320,13008420,-1.8012778334955328,0.010571875844270866
11019721,11090100,44.99608646579895,0.00833011991374962
13090000,13090101,-198.00450921456343,0.01787693229691106
11002400,11002322,-18.004092083978776,0.009839709882790627
11002322,11018920,97.20354160207518,0.01090838502263925
11004120,11014121,50.39739588475095,0.010252805860016029
13072600,13072701,79.19231404029358,0.012894494497272885
15024600,98000100,41.39725581672346,0.01315530809809774
13064920,14080123,43.20202058096281,0.007870939386624165
11010520,13008520,35.99186510276962,0.010321340196088494
13060420,12017626,109.79086080505556,0.011185996926516438
13072003,13060320,-113.39868999595322,0.011346736295944359
98000100,98000201,-93.596926733657,0.012697055426925154
11010922,10100200,5.40869356501446,0.011662439127060505
14023401,14034101,-1.7984974097412305,0.012688096806535648
13008721,13008622,-59.39794685493217,0.011414052426867015
