P1,P2,DC,Err,res,meter
98000100,15024600,-41.3928422705001,0.014913248477236067,0.0010633186293986796,C098
15024600,13090400,89.99421529323058,0.01521078471569685,-0.004719976654200764,C098
13090400,13072801,-30.59990830443536,0.01526907417933518,0.007797072634215141,C098
13072801,13072701,-37.798609216813304,0.01508226721018194,-0.0013848817440305083,C098
13072701,13072600,-79.19882086826593,0.01464227876745661,0.0034189603010190694,C098
13072600,13072402,-95.39431151497669,0.013935816764018364,-0.006986195240116899,C098
13072402,13064620,-43.206007761148385,0.012906093432279744,0.0007066084351734503,C098
13064620,13064422,-14.40123985054646,0.011467720132014603,-0.0030398402201665675,C098
13064422,13064720,216.00261712218753,0.010377204605784507,-0.0023507964042721596,C098
13064720,13051600,-336.5974216289767,0.009447295549766282,-0.005483069734680157,C098
13051600,98052300,307.7959429208648,0.009564635056946325,0.01048262391799426,C098
98052300,98052600,-307.79221078288384,0.010771623937961819,-0.002195450203942073,C098
98052600,98052300,307.79221078288384,0.010771623937961819,-0.0034217091841810543,C098
98052300,13051600,-307.7959429208648,0.009564635056946325,0.009256364937698436,C098
13051600,13064920,349.2006016931631,0.007696603065148666,0.005577536521457205,C098
13064920,14080123,43.199168182675635,0.008401832541433316,-0.0033185894051683817,C098
14080123,14080220,25.190880739738667,0.011198625838763602,-0.002211702956955719,C098
14080220,14080123,-25.190880739738667,0.011198625838763602,-0.0022117029570729585,C098
14080123,13064920,-43.199168182675635,0.008401832541433316,-0.003318589405438388,C098
13064920,13051600,-349.2006016931631,0.007696603065148666,0.004107288799616526,C098
13051600,13064720,336.5974216289767,0.009447295549766282,-0.008179576436134539,C098
13064720,13064422,-216.00261712218753,0.010377204605784507,-0.005047303105214951,C098
98052600,98052500,439.2065093305747,0.011829050412135078,-0.0006440751016612012,C098
98052500,98000700,-5.402925714541311,0.012839999139603398,-0.0036446173090922684,C098
98000700,14023401,-59.413686203249625,0.013317944109359988,0.004552589944374574,C098
14023401,14034101,-1.8010239748782055,0.014430468241537868,0.0023048343904636948,C098
14034101,14034100,5.4020845113284395,0.016231529403088363,-0.005742787177801745,C098
14034100,14034101,-5.4020845113284395,0.016231529403088363,-0.005742787177609898,C098
14034101,14023401,1.8010239748782055,0.014430468241537868,0.002304834390225885,C098
14023401,13072003,-25.191907434770116,0.013315077098279431,0.005060012230028832,C098
13072003,13072001,5.398501941301021,0.014196259716362607,-0.005054488788478473,C098
13072001,13072003,-5.398501941301021,0.014196259716362607,-0.005054488788434064,C098
13072003,13060320,-113.40150937497566,0.012835009846077976,0.004369039026101973,C098
13060320,13072003,113.40150937497566,0.012835009846077976,0.0027644945327693904,C098
13072003,14023401,25.191907434770116,0.013315077098279431,0.00345546773554517,C098
14023401,98000700,59.413686203249625,0.013317944109359988,0.002948045450416714,C098
98000700,98052500,5.402925714541311,0.012839999139603398,-0.005249161803350333,C098
98052500,98052600,-439.2065093305747,0.011829050412135078,-0.00224861959526379,C098
98052600,98052200,345.5936176171897,0.011539246221137167,0.005067442787776599,C098
98052200,98052100,75.60048170638265,0.0119210971863353,0.0010229542884161447,C098
98052100,13062822,-62.99975695708352,0.011569673964934779,-0.003990646273479115,C098
13062822,98001200,-134.9960863171034,0.011732107420796297,-0.006604581325490244,C098
98001200,98000600,-72.00688090752234,0.01244598256811243,0.003067924449084103,C098
98000600,13060320,84.6051054611749,0.012555813674981965,-0.005033358969640744,C098
13060320,13060220,-133.21044331143025,0.01271964132812987,-0.003954272533860603,C098
13060220,13008022,-118.79409783790845,0.013028076519220994,0.010062358121601278,C098
13008022,13060220,118.79409783790845,0.013028076519220994,0.011375358429376092,C098
13060220,13060320,133.21044331143025,0.01271964132812987,-0.0026412722261284216,C098
13060320,98000600,-84.6051054611749,0.012555813674981965,-0.002115814169769692,C098
98000600,98001200,72.00688090752234,0.01244598256811243,0.005985469250120445,C098
98001200,13062822,134.9960863171034,0.011732107420796297,-0.003687036525178655,C098
13062822,98052100,62.99975695708352,0.011569673964934779,-0.0036123607600870855,C098
98052100,98052200,-75.60048170638265,0.0119210971863353,0.0014012398015381677,C098
98052200,98052600,-345.5936176171897,0.011539246221137167,0.005445728301253894,C098
11000220,11019620,8.998161735440021,0.007416337502077995,-0.008513828718420768,C098
11019620,11002521,-28.798241291639215,0.009133876704027011,0.0016635871727643803,C098
11002521,11019120,9.000302256042573,0.010288586035352243,0.004823562276349946,C098
11019120,11002400,10.800660056546462,0.010311578236056296,-0.0005378120249339702,C098
11002400,11002322,-18.007815977127507,0.010897851500914466,-0.0013926277016089728,C098
11002322,11018920,97.20949440689321,0.01220672490993189,-0.0022793008442363316,C098
11018920,11018621,-5.406120429875273,0.012981266770200502,0.00916649398213476,C098
11018621,11003420,117.0049275758343,0.013314981419305231,-0.011171995023815384,C098
11003420,11003320,36.00425694765602,0.013243005225181655,0.004099375692092622,C098
11003320,11003221,-41.40565499455721,0.012756247297437595,0.004698115876600184,C098
11003221,11003021,39.60245853437823,0.011802731617863235,-0.0002539526373439571,C098
11003021,11003221,-39.60245853437823,0.011802731617863235,-0.0009370564180741781,C098
11003221,11003320,41.40565499455721,0.012756247297437595,0.004015012096303394,C098
11003320,11003420,-36.00425694765602,0.013243005225181655,0.0034162719118242535,C098
11003420,11018621,-117.0049275758343,0.013314981419305231,-0.011855098804488762,C098
11018621,11018920,5.406120429875273,0.012981266770200502,0.00848339020185307,C098
11018920,11002322,-97.20949440689321,0.01220672490993189,-0.002962404625407089,C098
11002322,11002400,18.007815977127507,0.010897851500914466,-0.002075731481799181,C098
11002400,11019120,-10.800660056546462,0.010311578236056296,0.001579283204080184,C098
11019120,11002521,-9.000302256042573,0.010288586035352243,0.00694065750514028,C098
11002521,11019620,28.798241291639215,0.009133876704027011,0.003780682401885116,C098
11019620,11000220,-8.998161735440021,0.007416337502077995,-0.010017758414422318,C098
11000220,11019721,41.40244157976042,0.007177073869498032,0.007292764625418613,C098
11019721,11019620,-32.4042798443204,0.007958087010566136,-0.006554933310042088,C098
11019620,10100100,7.209032658724595,0.009707304695820828,0.002243532869328213,C098
10100100,11019620,-7.209032658724595,0.009707304695820828,0.0022435328696177592,C098
11019620,11002802,100.8021904957049,0.00919317215308231,-0.001714756472154022,C098
11002802,10119201,135.00493652494998,0.01057665735282783,-0.0017586881735951465,C098
