sta,lon,lat,elev,g_value,g_error
10100100,116.22,40.25,101.0,558.7963988815038,0.007009120217118147
10100200,115.885,39.603,87.0,524.6140451451967,0.008781690090692096
10107200,114.9,40.828,832.07,256.38965031414125,0.009490142300703453
10114700,114.149,40.126,942.31,96.19476690215554,0.006210514291221341
10119201,115.965,40.365,555.9,330.1917964398911,0.006955379020064712
11000220,116.31,39.946,51.9,574.9999931813242,0.004554869622286429
11001020,116.649,39.917,55.0,601.9951054551875,0.005852514207857994
11002322,116.636,40.301,30.0,592.9888271254722,0.007367284803113712
11002400,116.644,40.136,42.0,574.9963931832865,0.006433878687055991
11002521,116.392,40.176,36.0,594.7969888093279,0.006418350970404041
11002802,116.072,40.287,233.7,465.1967524563089,0.006452550550462801
11003021,115.992,40.466,480.8,349.9962871663123,0.007022513782114346
11003221,116.166,40.53,516.0,389.5970668325921,0.007742126729163478
11003320,116.348,40.554,703.0,348.19166288543386,0.008163732465326404
11003420,116.537,40.558,625.0,384.1961351238825,0.008332615669943007
11003820,116.143,40.051,73.0,578.5906944178389,0.0062373151492233605
11003902,116.15,40.025,11.0,565.999374923172,0.005996434033423113
11004021,116.24,39.913,65.9,571.4095028683472,0.006115680629914939
11004120,116.175,40.038,65.0,582.19395024967,0.006481451650205978
11010124,116.402,39.829,48.0,580.398592124095,0.006094999540832255
11010223,116.337,39.731,39.0,587.5895361524088,0.006917162297926494
11010320,116.137,39.747,47.8,546.2034942636684,0.007453759074124531
11010420,116.113,39.85,74.0,533.6068358257407,0.007000445514911127
11010520,116.316,39.509,40.0,535.3920013123736,0.007268909087501306
11010922,116.028,39.611,31.3,530.0071935936,0.007554373974149056
11013902,116.15,40.025,11.0,565.9967535785679,0.007483741944048236
11014121,116.175,40.04,200.0,531.79583377427,0.007877781375525318
11017520,116.787,39.778,16.0,598.3967060245891,0.006979972279263828
11018621,116.64,40.625,28.0,501.1897485922541,0.008263988733229947
11018920,116.657,40.486,21.0,495.79604093778727,0.007952686600682555
11019120,116.5,40.167,46.0,585.7930540989197,0.006734670839519659
11019620,116.213,40.221,70.0,565.9969200072264,0.005392457125476518
11019721,116.12,40.178,75.0,533.5905518437754,0.005162025588007528
